Link Tracking -URL Clicked,Sessions,Clicks,Package_Id,Package_Name
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/resource/d0b5e520-be00-4f2f-8601-ac25928ed40f/download/count_metadata.csv,12,13,traffic-volumes-at-intersections-for-all-modes,traffic-volumes-at-intersections-for-all-modes
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/ae4e10a2-9eaf-4da4-83fb-f3731a30c124/resource/f52840c6-86f6-4db9-9eac-973b0bf9240e/download/traffic-signal-vehicle-and-pedestrian-volumes-data.xlsx,12,12,ae4e10a2-9eaf-4da4-83fb-f3731a30c124,traffic-signal-vehicle-and-pedestrian-volumes
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/996cfe8d-fb35-40ce-b569-698d51fc683b/resource/3900e649-f31e-4b79-9f20-4731bbfd94f7/download/ttc-subway-delay-codes.xlsx,12,12,996cfe8d-fb35-40ce-b569-698d51fc683b,ttc-subway-delay-data
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/26cbd79d-e548-4280-bc2c-a923bdfcadad/resource/41577214-c1e5-4af5-9cf7-a5d74036e94a/download/tenant notification for rent reduction-2021.xlsx,12,15,26cbd79d-e548-4280-bc2c-a923bdfcadad,tenant-notification-for-rent-reduction
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/police-race-and-identity-based-data-collection-arrests-strip-searches/resource/8f0a2caf-6a94-444a-8819-197db732e0ca/download/arrests and strip searches.json,12,15,police-race-and-identity-based-data-collection-arrests-strip-searches,police-race-and-identity-based-data-collection-arrests-strip-searches
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/21c83b32-d5a8-4106-a54f-010dbe49f6f2/resource/df7d621d-a7a0-4854-81b9-8a6dc29d73a6/download/daily-shelter-overnight-service-occupancy-capacity-2021.csv,12,12,21c83b32-d5a8-4106-a54f-010dbe49f6f2,daily-shelter-overnight-service-occupancy-capacity
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/4b5c7a84-dea1-4137-875d-71d7f662c83f/resource/ea8eaf04-01c4-4254-a9fa-d54de8c23d15/download/pedestrian network 2019 - wgs84.zip,12,13,4b5c7a84-dea1-4137-875d-71d7f662c83f,pedestrian-network
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/8217e43a-bba2-4e6c-82f5-bf6d1a52545d/resource/84572a3e-8537-4793-8a92-61107bab85f4/download/xml-feed-documentation.pdf,12,13,8217e43a-bba2-4e6c-82f5-bf6d1a52545d,ttc-real-time-next-vehicle-arrival-nvas
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/7e038ff9-b616-4070-9753-6f493b2cdbb0/resource/448f9470-e1e3-4eeb-b88c-6106e6d426da/download/wellbeing-toronto-safety.xlsx,11,12,7e038ff9-b616-4070-9753-6f493b2cdbb0,wellbeing-toronto-safety
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6e19a90f-971c-46b3-852c-0c48c436d1fc/resource/dece8848-9529-4c36-8344-2d47fa152e79/download/neighbourhood-profiles-2006-140-model.csv,11,11,6e19a90f-971c-46b3-852c-0c48c436d1fc,neighbourhood-profiles
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6a62d263-632e-489b-bd3d-2adc5056beca/resource/089daef7-b737-4e9f-a8db-2c0b35ddc232/download/wellbeing-toronto-economics.xlsx,11,15,6a62d263-632e-489b-bd3d-2adc5056beca,wellbeing-toronto-economics
